{Par}三人とも、無事か？{/n}{/n},{Par}你们三个、都没事吧？{/n}{/n}
言ってくれることが具体的になってうれしいわ、クレフ♨{/n},能听到具体的建议{/n}真是让人高兴呢、克雷夫♨
{Par}スキがないように思えても、{/n}戦いのなかで{/n}安全な場所はあるものだ。,{Par}即使看似毫无破绽、{/n}战斗中仍然会存在{/n}安全的区域。
それに気がつけば、戦いを{/n}より有利に 運べるだろう。{/n},若能察觉到这一点、{/n}就能让战斗更顺利。{/n}
{Par}安全な場所は、{/n}敵の動きによって変わるもの。{/n}まず、それを見つけることだ。,{Par}安全的区域会随着{/n}敌人行动而改变。{/n}首先要找到那个位置。
そして 注意深く相手の動きを見ていつ どこを攻撃すればいいか、{/n}くせをつかむことだな。,然后仔细观察敌人的动作、{/n}掌握攻击的时机与位置、{/n}摸清敌人的习惯。
{Par}光の剣が成長したようだな。{/n}だが、まだまだだ。{/n},{Par}光的剑似乎成长了呢。{/n}但还远远不够。{/n}
エスクードの武器の{/n}真の力を引き出すには{/n}さらなる成長が必要だ。,要发挥艾斯古托武器{/n}真正的力量{/n}需要更进一步的成长。
おまえたちの心の強さが{/n}それを導くのだ。たのむぞ、{/n}マジックナイトたちよ！,你们内心的强大{/n}会引导这份力量。{/n}拜托了、魔法骑士们！
{Par}エスクードの武器の成長も{/n}大切だが、魔神探しも{/n}忘れてはならないぞ。,{Par}艾斯古托武器的成长{/n}固然重要、但寻找魔神{/n}也不能忘记。
プレセアは、北に行けば{/n}海があるって言ってたわよね。{/n},普蕾西娅说过往北走{/n}就会有海洋对吧？{/n}
{Par}海の近くの村に着いたのか。{/n}では、魔神の手がかりとなる{/n}情報を集めるのだ。,{Par}抵达海边的村庄了吗。{/n}那就收集一下{/n}关于魔神的情报吧。
いろいろと、人に 話を{/n}聞いて回るしかないようね。{/n},看来只能到处走走{/n}找人打听消息了呢。{/n}
{Par}どうだ、{/n}情報は集まったか？{/n},{Par}怎么样、{/n}情报收集得如何？{/n}
魔神は、海の底のどこか{/n}はるか深くに眠っている。{/n},魔神沉睡在{/n}海底的某处深渊。{/n}
直接の情報がなくとも、{/n}海の中が調べられれば{/n}何かわかるかもしれんな。,即使没有直接的线索、{/n}但是调查海底的话{/n}或许能有所发现。
{Par}セフィーロの人々との出会いから{/n}得る力もある…。{/n},{Par}与锡菲罗居民的相遇{/n}也能获得力量…{/n}
それを わたしが言う前に{/n}実踐してしまったようだな。{/n}…見事だ。,在我开口之前{/n}你们已经实践过了啊。{/n}…很出色。
それを役に立ててみせることが{/n}力を与えてくれた者への{/n}恩返しとなろう。,善用这份力量{/n}就是对给予者{/n}最好的回报。
{Par}ふむ、氷のどうくつか…。{/n}{/n},{Par}嗯、冰之洞窟吗…{/n}{/n}
まわりは氷ばかりだ。{/n}光の魔法が役に立つだろう。{/n},四周全是冰。{/n}光的魔法会派上用场吧。{/n}
{Par}その ジムニーなる生物は{/n}巨大化魔法の影響か、かなりの{/n}体熱を持ってしまったようだな。,{Par}那个叫吉姆尼的生物{/n}受巨大化魔法的影响、{/n}体温异常升高。
そのままでは 手がつけられん。{/n}何らかの方法で 体温を{/n}冷ましてやる必要があるようだ。,这样下去无法触碰。{/n}必须想办法{/n}帮它降温才行。
{Par}それにしても、まだ幼い生物を{/n}急に巨大化させるとは、自然の{/n}摂理（せつり）に反する行いだ。,{Par}话说回来、{/n}让幼体生物突然巨大化{/n}实在是违背自然法则。
何らかの反動が{/n}起きるかもしれないな…{/n},可能会引发{/n}某种反噬…{/n}
{Par}魔神「セレス」を手に入れたか。{/n}しかし、その代償は{/n}つらいものだったな…。,{Par}获得魔神「瑟列斯」了吗。{/n}但是、这代价{/n}如此的沉重…
ジムニーの死をムダにしないことがおまえたちにできる{/n}唯一の つぐないだろう。,不能让吉姆尼白白牺牲{/n}这是你们唯一能做的补偿了。{/n}
{Par}くしくも、以前のカルタスの立場におまえたちは置かれてしまったな。,{Par}讽刺的是现在的你们{/n}与当初的卡尔达斯是相同的处境。
因果はめぐる、ということか…。{/n}{/n},这就是因果轮回吗…{/n}{/n}
{Par}フェリオと また会ったのか。{/n}ふむ…。{/n},{Par}又见到菲力欧了吗。{/n}嗯…{/n}
それはともかく、ローゼンで{/n}何か 変わったことはないか？{/n},暂且不提这个、{/n}罗森村有什么异常吗？{/n}
{Par}村の者たちが 夜な夜な{/n}家を抜け出すというのか。{/n}におうな…。,{Par}村民们每到深夜就{/n}就会溜出家门？{/n}有蹊跷啊…
お約束のボケを{/n}かましそうになるけれど、{/n}ぐっと ガマンしておくわ。,虽然想按惯例吐槽、{/n}但还是努力忍住了。{/n}
{Par}夜中に外を出回るのは感心せんが、そういう事情ではしかたあるまい。,{Par}虽然不赞成夜间外出、{/n}但如果是那种情况也情有可原。
よかった。{/n}教育ママゴンみたいな事言われたらどうしようかと思っちゃったわ。,太好了。{/n}要是被怪兽家长说教的话{/n}那可就头疼了呢。
「教育ママゴン」って…{/n}いつの時代の言葉ですの？{/n},「怪兽家长」…{/n}这是哪个时代的词汇啊？{/n}
{Par}ローゼンの村に{/n}そんな どうくつがあったとは、{/n}わたしの記憶にはないな。,{Par}罗森村居然有{/n}那样的洞窟、{/n}我毫无印象啊。
…最近できたものではないのか？{/n}{/n},…难道是最近才形成的？{/n}{/n}
{Par}ところで、{/n}魔法は役に立っているか？{/n},{Par}话说回来、{/n}魔法派上用场了吗？{/n}
どうくつで困ったことがあったら、まず 魔法で道が開けないか{/n}ためしてみたらいいだろう。,在洞窟里遇到困难时、{/n}不妨先用魔法试试。{/n}也许能开辟道路。
{Par}近づくこと かなわぬ敵に{/n}出会ったならば、{/n}その対処法は限られてくる。,{Par}若遭遇无法近身的敌人、{/n}应对方法十分有限。{/n}
遠く離れたところからでも{/n}攻撃できる方法をとるのだ。{/n},要采取能从远距离{/n}发动攻击的策略。{/n}
{Par}分身する相手に{/n}まどわされてはいかんぞ。{/n},{Par}别被分身的敌人{/n}迷惑了。{/n}
幻の中に 必ずや{/n}実体が 姿をかくしているはず。{/n}それを見きわめることだ。,幻影中必定藏着实体。{/n}要准确辨别出来。{/n}
{Par}えー、あー、なんだ。その…{/n}とりあえず、{/n}ケンカはいかんな、風。,{Par}呃、啊、那个…{/n}总之、{/n}别吵架啊、风。
ケンカなんかしてませんわっ。{/n}{/n},才没有吵架呢！{/n}{/n}
そ、そうか。{/n}それは失礼。{/n},这、这样啊。{/n}失礼了。{/n}
それはともかく、村の者たちも{/n}正気に戻ったことだろう。{/n}何か 情報が聞けるかもしれん。,话说回来、村民们应该{/n}恢复神智了吧。{/n}或许能打听到什么消息。
様子見がてら、{/n}あたってみてはどうかな？{/n},要不要去{/n}看看情况？{/n}
{Par}村の者たちの様子はどうかな？{/n}{/n},{Par}村民们的情况如何？{/n}{/n}
魔神のこと、あるいは{/n}先へ進むための情報など{/n}聞ければよいのだが…。,若能打听到魔神的消息{/n}或者是前进线索{/n}那就再好不过了…。
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
あれ…？{/n}クレフ、夜だから{/n}寝ているのかな。,咦…？{/n}克雷夫、因为是夜晚{/n}所以在睡觉吗。
魔法で石にされても、{/n}眠ることなんてあるんだ。{/n},就算被魔法变成石头、{/n}居然也会睡觉啊。{/n}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
クレフー？{/n}{/n},克雷夫～？{/n}{/n}
まだ 眠っているみたいだ。{/n}{/n},好像还在睡呢。{/n}{/n}
{Par}そうか。{/n}ラファーガに会ったのか。{/n},{Par}是吗。{/n}见到拉法格了啊。{/n}
ラファーガに教わった技で{/n}道が開ける場所もあるだろう。{/n}調べてみてはどうだ？,用拉法格传授的招式{/n}或许能开辟道路。{/n}去试试看吧？
{Par}ラファーガに教わった技を{/n}使ってみたか？{/n},{Par}用过拉法格传授的招式吗？{/n}{/n}
今まで、なにげなく{/n}通りすぎてきたところも、{/n}調べ直す必要がありそうだな？,之前匆匆路过的地方、{/n}看来也有必要{/n}重新调查了呢。
{Par}いかな異常気象に セフィーロが{/n}見舞われているといっても、{/n}火事というのは考えにくいな。,{Par}虽说锡菲罗正在遭受{/n}异常气候的侵袭、{/n}但火灾还是太蹊跷了。
…気をつけた方が{/n}いいかもしれないぞ。{/n},…最好提高警惕。{/n}比较妥当。{/n}
{Par}村の者はどうしている？{/n}無事であればいいが…。{/n},{Par}村民们还好吗？{/n}希望他们平安…{/n}
わからない。{/n}これから 話を聞いてみるわ。{/n},不清楚。{/n}正准备去打听。{/n}
{Par}にげおくれた子どもが{/n}家に残されているというのか？{/n}それは聞き捨てならないな。,{Par}有孩子没来得及逃走{/n}被困在屋里？{/n}这可不能坐视不管。
しかし、海の魔法でも消えぬ炎か…自然ならざりし力を感じるな。{/n},但连海的魔法都无法熄灭的火焰…{/n}感觉不是自然之力。
それは どういうことですの？{/n}{/n},这是什么意思？{/n}{/n}
何者かの手になるもの、{/n}ということだ。{/n},意思就是{/n}有人暗中作祟。{/n}
いったい だれが…？{/n}{/n},究竟是谁…？{/n}{/n}
{Par}ところどころ、{/n}閉ざされた とびらが{/n}あるようだな。,{Par}各处都有{/n}上锁的门扉。{/n}
それぞれに対応した{/n}カギがあるはず。{/n}まず、それを探すことだ。,应该有对应的钥匙。{/n}先找到钥匙吧。{/n}
それに、二階が焼け落ちて{/n}一階に落ちてしまうことが{/n}あるやもしれんが…,另外、二楼烧毁坍塌后{/n}物品坠落到一楼的情况{/n}或许可以…
それを、逆に{/n}利用してみるのもいいだろう。{/n},反过来利用这点{/n}也不失为一个好办法。{/n}
{Par}言わずもがなだろうが、{/n}炎をまといし魔物には{/n}海の魔法が よくきくだろう。,{Par}虽然不言自明、{/n}但对缠绕火焰的魔物{/n}海的魔法效果显著。
待ちに待ってた出番が来たわね！{/n}{/n},期待已久的出场机会来了呢！{/n}{/n}
…そうなのか？{/n}{/n},…是吗？{/n}{/n}
え？ あー…いやぁ…{/n}そ、そんなことないわよ？{/n},哎？ 啊…不…{/n}才、才没有啦！{/n}
そうか…{/n}ならば よいが。{/n},这样啊…{/n}那就好。{/n}
{Par}ときには ものかげにかくれ、{/n}敵のスキをうかがうことが必要だ。,{Par}有时需要躲藏在暗处、{/n}伺机攻击敌人的破绽。
攻撃方法によっては、ものかげから直接 敵にダメージを与えることも{/n}できるしな。,根据攻击方式的不同、{/n}甚至能从掩体后方{/n}直接对敌人造成伤害。
それって、なんだか{/n}ズルい感じがするけど…？{/n},总觉得这样{/n}有点狡猾呢…？{/n}
生きていくためには必要な知恵だ。{/n},是生存必需的智慧。{/n}
{Par}アイアイの村の者には{/n}気の毒だったな。{/n},{Par}艾艾村的居民{/n}真是可怜。{/n}
アルシオーネ、{/n}わたしたちをねらって{/n}こんなことしたのよね。,阿尔希欧蕾、{/n}为了袭击我们{/n}才这么做的吧。
わたくしたちのために、村の{/n}みなさんに迷惑をかけたようで…{/n}申し訳ありませんわ。,因为我们害大家{/n}遭遇不幸…{/n}实在抱歉。
クレフ…{/n}わたしたち、{/n}どうしたらいいんだ？,克雷夫…{/n}我们现在{/n}该怎么办？
今のおまえたちにできるのは{/n}エメロード姫を 一刻も早く{/n}助けだすことだ。,你们现在能做的{/n}就是尽快救出{/n}艾美诺公主。
このようなことが{/n}二度とおきないようにな。{/n},避免此类事件{/n}再次发生。{/n}
{Par}火事に焼かれた村の者を思う{/n}その心こそが 重要なのだ。{/n},{Par}牵挂受灾村民的{/n}这份心意才是最重要的。{/n}
その思いを忘れることなく、{/n}気を取り直して前に進むことだ。{/n},铭记这份心意、{/n}重整旗鼓继续前进吧。{/n}
{Par}ライリーは セフィーロの民の{/n}健康をつかさどる 重要な村だ。{/n},{Par}莱利村是掌管着锡菲罗子民{/n}健康的重要村落。{/n}
「生命の木」と呼ばれる大樹の下、おだやかな静養地として{/n}静かな毎日のはずだが…。,在「生命之树」的庇荫下、{/n}本该是宁静的疗养地…
{Par}生命の木は エメロード姫の{/n}祈りをえて、万病に効く薬となる{/n}葉を茂らせるのだ。,{Par}生命之树接受艾美诺公主的祈祷、{/n}能生长出治愈百病的叶片。{/n}
姫の祈り とどこおる今、{/n}生命の木の状態も 心配だな。{/n},如今公主停止祈祷、{/n}生命之树的状态也令人担忧。{/n}
{Par}そうか…やはり生命の木すらも{/n}エメロード姫 幽閉のため、{/n}葉を成さなくなっているか…。,{Par}果然连生命之树{/n}都因公主被幽禁{/n}而停止生长了吗…
それにしても、そんなに急に{/n}葉を落としているとは{/n}おかしいな。,但树叶如此急速凋零{/n}实在反常。{/n}
光、海、風… 気をつけろよ。{/n}{/n},光、海、风… 要小心啊。{/n}{/n}
{Par}大事の前に 小事にこだわるな。{/n}{/n},{Par}大事当前 别拘泥小节。{/n}{/n}
感情にとらわれて、{/n}目的を誤ることのないようにな。{/n},不要被情绪左右{/n}迷失了真正的目标。{/n}
{Par}生命の木を登っていくには、{/n}木の中と外を フル活用する{/n}必要があるようだな。,{Par}要攀登生命之树、{/n}需要灵活运用{/n}树内与树外的空间。
上に登れる可能性のあるところは{/n}見落とさないように。{/n},注意寻找{/n}可能的攀爬路线。{/n}
{Par}風の矢も だいぶ強力に{/n}なっているようだな。{/n},{Par}风的箭{/n}威力也提升不少呢。{/n}
力を充分にためた一撃は{/n}パワーが上がることは{/n}知っているだろう。,蓄力攻击能提升威力{/n}你应该知道吧。{/n}
風の矢は その際、{/n}敵を追って進んでいく。{/n}忘れないことだな。,风的箭在此时{/n}会追踪敌人。{/n}切记。
{Par}ふむ。{/n}アルシオーネも かなり{/n}研究していると見える。,{Par}嗯。{/n}看来阿尔希欧蕾{/n}也做了不少研究。
こちらも相手をよく見て、{/n}考えるといいだろう。{/n},你们也要仔细观察、{/n}冷静思考对策。{/n}
やみくもに攻撃していても{/n}いい結果は得られないぞ。{/n},盲目攻击{/n}难有成效。{/n}
{Par}数の多い敵は、基本的に{/n}ひとつづつ倒して{/n}数を減らしていくことだ。,{Par}面对数量众多的敌人、{/n}应当逐个击破{/n}削减数量。
しかし、それも{/n}顺番を考えるべきだろう。{/n},但攻击的顺序{/n}也需要考量。{/n}
自分たちが{/n}どうされたら 一番イヤか、{/n}考えてみるのもいいだろう。,不妨想想{/n}自己最怕被怎样攻击、{/n}或许能有启发。
{Par}生命の木を 巨大な虫が{/n}食い荒らしていたとはな。{/n},{Par}居然有巨虫在啃食{/n}生命之树…{/n}
しかし、それを倒したからには{/n}生命の木も 少しづつ{/n}快方に向かうだろう。,但既然已经消灭它、{/n}生命之树也会逐渐{/n}恢复健康吧。
さあ、生命の木の葉を取り、{/n}治療院に帰るのだ。,快取得生命之树的叶子、{/n}返回治疗院。
{Par}よくやったな。{/n}これで 病になやむ者も{/n}快方に向かうだろう。,{Par}做得很好啊。{/n}这样病患们{/n}也能逐渐康复了。
海…{/n}いいところ あるじゃないか？{/n},海…{/n}偶尔也挺可靠嘛？{/n}
と、当然でしょ？{/n}清く正しく美しく、が{/n}わたしのモットーだもんね！,那、那是当然！{/n}清纯正直又美丽{/n}这可是我的座右铭！
{Par}ラカタク大滝にかかる橋が{/n}落とされてしまったのか？{/n}それでは橋の向こうに進めないな。,{Par}拉卡塔克瀑布的桥{/n}被毁掉了吗？{/n}这样就无法向对岸前进了。
そうだ。{/n}滝の裏にある どうくつが{/n}橋の向こうにつながっていたはず。,对了。{/n}瀑布后的洞窟{/n}应该与对岸相连。
今 そこにいるならば、{/n}上へ上へと昇って行くがよかろう。{/n},如果现在在那里、{/n}就继续往上攀登吧。{/n}
{Par}滝の裏、ひそかに息づくどうくつ…{/n},{Par}瀑布的后方、隐秘的洞窟…{/n}
そこを昇ってゆけば、{/n}いずれ 道は開けよう。{/n},只要不断向上攀登、{/n}一定会找到出路。{/n}
{Par}光、海、風…{/n}今こそ おまえたちの力が{/n}試されるときだ。,{Par}光、海、风…{/n}现在正是考验{/n}你们力量的时刻。
それって…もしかして{/n}岩を押せ、ってこと？{/n},这是…要我们{/n}推岩石的意思？{/n}
うむ…まぁ、{/n}言うなれば そうだ。{/n},嗯…{/n}算是吧。{/n}
文字通り そのままね…♨{/n}{/n},字面意思呢…♨{/n}{/n}
{Par}鉄球をねらった場所で止めるには{/n}あらかじめ カベとなるものを{/n}おいておくことだ。,{Par}要让铁球停在目标位置、{/n}需要预先设置障碍物。{/n}
その方法は{/n}おのずと 知れていよう？{/n},至于方法{/n}应该不用我说吧？{/n}
{Par}鉄球をねらった場所で止めるには{/n}あらかじめ カベとなるものを{/n}おいておくことだが…,{Par}要让铁球停在目标位置、{/n}需要预先设置障碍物…{/n}
それは 別に、{/n}岩に限ったことではないのだ。{/n},不过并不限于{/n}使用岩石。{/n}
{Par}重要なのは、{/n}最初に何を成すかだ。{/n},{Par}关键在于{/n}第一步怎么做。{/n}
それを まちがえれば、何もかも{/n}やり直しとなってしまうぞ。{/n},如果弄错顺序、{/n}就要全部重来。{/n}
{Par}エスクードの武器で{/n}くだくことのできる岩が{/n}あることは 知っていようが…,{Par}艾斯古托武器{/n}能破坏特定岩石{/n}你们应该知道了…
考えなしに 岩をくだくのでなく{/n}いつ どこで それを成すか{/n}考えた方がいいだろうな。,但不要贸然破坏、{/n}要思考在何时何处{/n}进行破坏。
{Par}とびらを開くためには、{/n}自分たちの手だけでは{/n}まかないきれん場合もあるだろう。,{Par}可能有些门、{/n}单凭一己之力{/n}是无法打开的。
そのときは、他の者の手を借りる{/n}必要も あるかもしれんな。{/n},这种时候就需要{/n}借助他人之力。{/n}
{Par}すべからく 観察というものは{/n}大事なことだ。{/n},{Par}无论如何{/n}观察力至关重要。{/n}
「見る」のと「観察する」のとでは大ちがいなのだからな。{/n},「看」与「观察」{/n}可是天差地别啊。{/n}
{Par}とびらを守る魔物がいることも{/n}あるようだな。{/n}魔物を倒せば、道が開けよう。,{Par}似乎有些门{/n}会由魔物把守。{/n}击败它们就能通行。
また、自分の目というものは{/n}意外と信用ならないものだ。{/n},另外、肉眼所见{/n}有时并不可靠。{/n}
身体で感じることも必要だな。{/n}{/n},要用身体去感知。{/n}{/n}
{Par}おまえたちには「魔法」という{/n}心強い見方がいるということを{/n}忘れるな。,{Par}可别忘了{/n}你们拥有「魔法」{/n}这个强大的伙伴。
そして、各々が力を合わせれば{/n}必ずや 道は開けよう。{/n},只要齐心协力、{/n}必能开辟道路。{/n}
{Par}自分の目というものは{/n}意外と信用ならないものだ。{/n},{Par}肉眼所见{/n}有时并不可靠。{/n}
特に 幻惑の魔法をあやつる者を{/n}相手にするときには、{/n}注意が必要だな。,特别是面对会使用{/n}幻惑魔法的敌人时{/n}更要格外小心。
先入観にとらわれず、{/n}あるものを あるがままに{/n}受け入れてみてはどうだ？,摒弃先入为主的观念、{/n}试着接受事物的{/n}本来面貌吧。
{Par}とにもかくにも、{/n}幻に惑わされることの{/n}ないようにな。,{Par}总之、{/n}不要被幻象迷惑。{/n}
何がおこっても、{/n}あせらず、落ちついて{/n}対処するのだ。,无论发生什么、{/n}都要冷静应对。{/n}
{Par}魔法骑士になるための{/n}道はけわしい…。{/n},{Par}成为魔法骑士的{/n}道路险阻重重…{/n}
今のわたしは おまえたちに{/n}かける言葉も持たぬ…{/n}すまんな。,如今的我已没有{/n}能激励你们的话语…{/n}抱歉。
{Par}レクイドの湖まで やってきたか。{/n}{/n},{Par}到达雷奎德湖了吗。{/n}{/n}
とりあえず、村の者と話して{/n}情報を集めるしかないな。{/n},总之先向村民{/n}打听情报吧。{/n}
{Par}確か 湖には 精獣がいたはず。{/n}しかし、村をおそったりなどは{/n}しなかったのだがな…。,{Par}记得湖中有精兽栖息。{/n}但原本从不袭击村庄…{/n}
となると…どなたかが{/n}それをさせているという事も{/n}考えられますわね。,这么说来…可能是{/n}有人在操控它们。{/n}
また ザガートの一味の{/n}しわざだっていうの？{/n},难道 又是{/n}扎加特一伙人干的？{/n}
そこまでは断定できませんわ。{/n}そういう事も考えられる、{/n}というだけですから。,还不能断言。{/n}只是可能性之一。{/n}
とりあえず、村の者と話して{/n}情報を集めるしかないな。{/n},总之先向村民{/n}打听情报吧。{/n}
{Par}湖にあるという島には、どうも{/n}不自然な点が多いようだな。{/n},{Par}湖中的岛屿{/n}疑点重重。{/n}
充分、気をつけるのだぞ。{/n}{/n},千万要小心。{/n}{/n}
{Par}湖の精獣がおそってくるとは{/n}おかしいな。そんなはずは…。{/n},{Par}湖中精兽突然袭击人类{/n}实在是反常啊…{/n}
{Par}湖の精獣に邪心が感じられぬ…。{/n}{/n},{Par}感觉不到湖中精兽{/n}存有邪念…{/n}
こんなことをするのには、{/n}やむをえぬ理由があったのでは{/n}ないかと思えるのだが…。,它们这么做{/n}或许有不得已的苦衷…{/n}
{Par}空中庭園は、レクイドの精獣が{/n}あんなことになっていたおかげで、ながらく下界と行き来が無かった。,{Par}空中庭园因为{/n}雷奎德的精兽异变、{/n}长期与下界隔绝。
