{Par}マジックナイト,{Par}魔法骑士
ここを見つけてしまったからには{/n}タダでは帰さないよ、{/n}おねえちゃんたち…‼,既然被你们发现了、{/n}就别想轻易离开、{/n}大姐姐们…‼
… … …,… … …
ハイ！ これは仲間のシルシ。{/n}あげる。{/n},给！这是同伴的证明。{/n}送你们的。{/n}
虹のアミュレット（だいだい）を{/n}手に入れた！{/n},获得了彩虹护身符（橙）！{/n}{/n}
他にも このあたりには{/n}ボクの宝物をかくしてあるんだ。{/n}探して もっていってもいいよ！,附近还藏着其他宝物哦！{/n}尽管去找吧！{/n}
{Par}やぁ、ぼくのひみつ基地仲間たち！{/n},{Par}呀、我的秘密基地同伴们！{/n}
ボクのかくした宝は見つかった？{/n}{/n},找到我藏的宝物了吗？{/n}{/n}
ボクの気が変わらないうちに{/n}探しておいた方がいいよ！{/n},趁我还没改变主意{/n}赶快去找比较好哦！{/n}
{Par}ひさしぶりだな。{/n}{/n},{Par}好久不见。{/n}{/n}
ラファーガ！{/n}{/n},拉法格！{/n}{/n}
わたしも姫を救うため 旅に出たが{/n}ザガートの一味を追っているうち、{/n}こんな所まで 来てしまったよ。,我为拯救公主而踏上旅程、{/n}在追查扎加特一伙的过程中{/n}竟来到了这种地方。
ザガートの手下が{/n}この空中庭園にも{/n}来ているって言うの？,听说扎加特的手下{/n}也潜入了这座空中庭园？{/n}
…うむ。{/n}{/n},…正是。{/n}{/n}
気をつけた方が{/n}いいようですわね。{/n},看来需要{/n}提高警惕呢。{/n}
{Par}ザガートの手の者が{/n}来ているかもしれん。{/n}…油断しないことだな。,{Par}扎加特的爪牙{/n}可能已经混入其中。{/n}…不可大意。
{Par}むぅ…{/n}そんなことがあったのか…！{/n},{Par}唔…{/n}竟有此事…！{/n}
{Par}カギを盗んだ犯人が 誰で、{/n}目的が 何だとしても、{/n}門を開けるために 現れるはず。,{Par}无论盗取钥匙的是谁、{/n}目的为何、{/n}要开门就必定会现身。
それを 待ちぶせることだ。{/n}{/n},只需守株待兔即可。{/n}{/n}
そうすれば、本当に{/n}そのフェリオとかいう少年が{/n}犯人かどうかも わかるだろう。,这样就能确认{/n}那位叫菲力欧的少年{/n}是否真是犯人了。
なるほど！{/n}{/n},原来如此！{/n}{/n}
じゃ、さっそく 門の前に行って、{/n}見張っていましょうよ。{/n}ね、風！,那我们现在就去大门蹲守吧。{/n}对吧、风？{/n}
え…ええ…。{/n}{/n},呃…嗯…。{/n}{/n}
{Par}どうだ、犯人はやってきたか？{/n}{/n},{Par}如何、犯人出现了吗？{/n}{/n}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
フェリオさん？{/n}{/n},菲力欧先生？{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
どうしたの？{/n}ボーッとしちゃってさ。{/n},怎么了？{/n}在发什么呆啊。{/n}
…あ…ああ…{/n}なんでもないぜ。{/n},…没…没什么…{/n}真的。{/n}
…ヘンなフェリオ！{/n}{/n},…奇怪的菲力欧！{/n}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
{Par}フェリオ！{/n}何なのよ、このひとは{var3}{/n},{Par}菲力欧！{/n}这是怎么回事、这个人{var3}{/n}
… … …。{/n}{/n},… … …。{/n}{/n}
い、行きましょう。{/n}光さん、海さん。{/n},走、走吧。{/n}光小姐、海小姐。{/n}
{Par}あっ…{/n}フェリオさんの服！{/n},{Par}啊…{/n}菲力欧先生的衣服！{/n}
灰まみれだよ！{/n}{/n},沾满了灰尘！{/n}{/n}
ということは…{/n}ますます フェリオが{/n}アヤしいってこと？,也就是说…{/n}菲力欧的嫌疑{/n}越来越大了？
フェリオさん…{/n}{/n},菲力欧先生…{/n}{/n}
フェリオ！{/n}カギを盗んだのは フェリオなの？{/n},菲力欧！{/n}偷钥匙的是你吗？{/n}
ううううう…{/n}{/n},呜呜呜呜…{/n}{/n}
あぁら、わたしのフェリオに{/n}ちょっかい出さないで{/n}くださいませんこと？,哎呀呀、请不要对我的菲力欧{/n}动手动脚的好吗？{/n}
ねー、フェリオ！{/n}{/n},对吧、菲力欧！{/n}{/n}
{Par}… … …。{/n}{/n},{Par}… … …。{/n}{/n}
フェリオ…{/n}{/n},菲力欧…{/n}{/n}
い、{/n}行きましょう、みなさん。{/n},快、{/n}快走吧、各位。{/n}
{Par}なぁに、あなたたち。{/n}わたしとフェリオの{/n}ジャマしないでくださらない？,{Par}干什么呀你们。{/n}别妨碍我和菲力欧独处好吗？{/n}
何、あなた。{/n}フェリオの何だっていうの？{/n},你算什么人啊？{/n}和菲力欧什么关系？{/n}
そんなことは{/n}あなたたちには関係ないことだわ。{/n}言う必要があるのかしら？,这种事{/n}和你们无关吧？{/n}有必要说明吗？
…い、行きましょう。{/n}光さん、海さん！{/n},…走、走吧。{/n}光小姐、海小姐！{/n}
風ちゃん…{var1}{/n}{/n},小风…{var1}{/n}{/n}
{Par}さぁ、行った行った。{/n}やきもちは見苦しいわよ？{/n},{Par}快走开快走开。{/n}嫉妒的样子很难看哦？{/n}
{Par}あらあら、一度フられた方が{/n}何のご用かしら？{/n},{Par}哎呀呀、被甩过一次的人{/n}还有什么事吗？{/n}
{Par}わたしたちに まとわりつくのは{/n}およしなさい。{/n}いいかげん 見苦しくてよ？,{Par}别再纠缠我们了。{/n}这样很难看不是吗？{/n}
{Par}ここで 一番大きい建物に{/n}住んでいるのは、{/n}空中庭園の管理人さんだよ。,{Par}村里最大的建筑里{/n}住着空中庭园的{/n}管理人先生。
ま、要は村長さんってことよね。{/n}空中庭園なんて言ってる手前、{/n}管理人とか称してるけどさ。,其实就是村长啦。{/n}碍于空中庭园的名号{/n}才自称为管理人。
{Par}ここの管理人さんは まさに{/n}「管理」人だよ。{/n},{Par}这里的管理人先生{/n}可是个名副其实的「管理」者。{/n}
しめつけが キビしくてな！{/n}{/n},管束超严格的！{/n}{/n}
{Par}精鳥の像が消えたって？{/n}{/n},{Par}精鸟雕像消失了？{/n}{/n}
あれだけ取りしまってもこれだ。{/n}あの管理人さんも これで{/n}少しは コりるだろうよ。,管得那么严还出这种事。{/n}那位管理人先生{/n}也该反省反省了吧。
{Par}おかしいと思わない？{/n}空中庭園、空中庭園って。{/n},{Par}不觉得奇怪吗？{/n}空中庭园、空中庭园的。{/n}
この村にはエアリアって{/n}りっぱな名前があるのにさ。{/n},明明村子有艾瑞亚{/n}这么气派的名字。{/n}
ボクは エアリアって名前の方が{/n}好きなんだ。{/n}響きがいいもんな！,我还是更喜欢艾瑞亚这个名字。{/n}发音多好听啊！{/n}
{Par}エアリアエアリアエアリア{/n}エアリアエアリアエアリア{/n}エアリアエアリアエアリア。,{Par}艾瑞亚艾瑞亚艾瑞亚{/n}艾瑞亚艾瑞亚艾瑞亚{/n}艾瑞亚艾瑞亚艾瑞亚。
こっちの名前の方がいいよね！{/n}{/n},这个名称更棒吧！{/n}{/n}
{Par}エアリアって名前の方が{/n}今は いいと思う。{/n},{Par}现在觉得艾瑞亚{/n}这个名字更好。{/n}
でも、おとなになると{/n}また ちがうのかな？{/n},但长大以后{/n}想法会变吗？{/n}
{Par}この空中庭園には 精鳥の像が{/n}あるっていうけど、まだわたし、{/n}見たことないの。,{Par}听说这座空中庭园{/n}有精鸟雕像、{/n}但我还没亲眼见过呢。
像への扉には カギがかかってるし{/n}もし それが開いても、雲の迷宮が{/n}行く手を はばんでいますから。,通往雕像的门上着锁、{/n}就算打开也要面对{/n}云之迷宫的阻碍。
{Par}なんでも 精鳥の像への{/n}扉のカギが盗まれてしまったとか。{/n},{Par}据说通往精鸟雕像的{/n}大门钥匙被盗了。{/n}
でも、犯人は もうつかまったと{/n}聞きましたが…いったい だれが{/n}やったんでしょうね。,但是犯人已经落网…{/n}到底是谁干的呢？{/n}
{Par}なんでも 精鳥の像が{/n}消えてなくなってしまったとか。{/n},{Par}据说精鸟雕像{/n}消失不见了。{/n}
…世の中 いろいろ{/n}あるもんですわね。{/n},…这世间真是{/n}无奇不有啊。{/n}
{Par}この空中庭園の管理人さんは{/n}えらくガンコでね。{/n},{Par}空中庭园的管理人先生{/n}真的顽固得要命。{/n}
もし会うんだったら、{/n}カクゴして行った方がいいかもね。{/n},要去见他的话、{/n}最好做好心理准备哦。{/n}
{Par}もう 管理人さんには{/n}会ったのかい？{/n},{Par}已经见过管理人先生了？{/n}{/n}
どうだい、聞きしにまさる{/n}ガンコさだっただろ？{/n},如何、比传闻中的{/n}还要更加顽固吧？{/n}
{Par}あの管理人のガンコオヤジ、{/n}どうしてるだろうね。{/n},{Par}那个顽固的管理人老头、{/n}现在怎样了呢？{/n}
けっこう{/n}コタえてるんじゃないかねぇ。{/n},应该很受打击吧？{/n}{/n}
{Par}空は どこまで広がってるの？{/n}{/n},{Par}天空究竟有多广阔？{/n}{/n}
お日様は だれのために{/n}かがやいているの？{/n},太阳为谁而闪耀？{/n}{/n}
下の世界って どうなってるの？{/n}{/n},下面的世界是什么样子？{/n}{/n}
知りたい 知りたい{/n}知りたいよぅ。{/n},好想知道 好想知道{/n}好想知道啊。{/n}
{Par}風は どうして吹いているの？{/n}{/n},{Par}风儿为何吹拂？{/n}{/n}
雲は なぜ 白くかがやいてるの？{/n}{/n},云朵为何洁白闪耀？{/n}{/n}
下の世界は{/n}どうして 下にあるの？{/n},下面的世界为何{/n}位于下方？{/n}
知りたい 知りたい{/n}知りたいよぅ。{/n},好想知道 好想知道{/n}好想知道啊。{/n}
{Par}ぼくらは どうして大きくなるの？{/n}{/n},{Par}我们为何会长大？{/n}{/n}
ぼくらは どうしてお話しするの？{/n}{/n},我们为何要交谈？{/n}{/n}
ぼくらは どうして生きてくの？{/n}{/n},我们为何要生存？{/n}{/n}
知りたい 知りたい{/n}知りたいよぅ。{/n},好想知道 好想知道{/n}好想知道啊。{/n}
{Par}ウチのコは 知らなくても{/n}いいことまで知りたがっていかん！{/n},{Par}我家孩子总想知道些{/n}没必要了解的事！{/n}
オレだって知らないのに！{/n}困っちまうよ。{/n},连我都不知道答案！{/n}真头疼啊。{/n}
{Par}わが家は 代々受けつがれている{/n}歴史ある宿屋でございます。{/n},{Par}寒舍是代代相传{/n}历史悠久的旅店。{/n}
しかし、下の世界と交流のない今、{/n}お客さんなんて来やしません。{/n}それなのに…,但如今、与下面的世界断绝往来、{/n}根本没有客人上门。{/n}即便如此…
ああ、歴史が重い。{/n}{/n},唉、历史的重担啊。{/n}{/n}
{Par}わが家は 代々受けつがれている{/n}歴史ある宿屋でございます。{/n},{Par}寒舍是代代相传{/n}历史悠久的旅店。{/n}
しかし、下の世界と交流のない今、{/n}お客さんなんて来やしません。{/n},但如今、与下面的世界断绝往来、{/n}根本没有客人上门。{/n}
はっ！ ふと見ると{/n}あなたさま方は下の世界の人！{/n}どうぞ お泊まりを！,哎呀！仔细一看{/n}各位是下面世界来的吧！{/n}请务必留宿！
はい{/n},是{/n}
いいえ{/n},否{/n}
{Par}そうですか…それは残念です…。{/n}気が変わったら{/n}また来てくださいね。,{Par}这样啊…太遗憾了…{/n}改变主意的话{/n}请随时光临。
{Par}三名と一匹様 ごあんなーい！{/n}{/n},{Par}三位与一只贵宾驾到——！{/n}{/n}
{Par}またの ご利用を{/n}お待ち申し上げております。{/n},{Par}恭候各位{/n}再次莅临。{/n}
{Par}これから お客さんも{/n}もっと来ますかねぇ。{/n}待ち遠しいですねぇ。,{Par}今后客人会多起来吧。{/n}好期待啊。{/n}
{Par}ボクは さびしい一人暮らし。{/n}{/n},{Par}我过着寂寞的独居生活。{/n}{/n}
働いているときは平気だけど、{/n}ふと独り 部屋の天井をながめると{/n}ボクの心に 風が吹くんだ。,工作时还好、但独处时{/n}凝视着天花板、{/n}心中就会刮起寂寞的风。
さびしいなぁ…。{/n}{/n},好寂寞啊…{/n}{/n}
{Par}ウチは ごらんの通りの{/n}大所帯でね。{/n}もうやってらんないわよ。,{Par}如您所见{/n}我家人口比较多。{/n}真是吃不消啊。
{Par}こどもはみんな かわいいよ。{/n}どんなに 手がかかろうが、{/n}全く苦にはならないさ。,{Par}孩子们都很可爱。{/n}不管多劳心费力{/n}都不觉得辛苦呢。
{Par}おなかへったぁ。{/n}{/n},{Par}肚子饿啦——{/n}{/n}
{Par}だれがだれだか わかんない？{/n}甘いな、おねえちゃんたち。{/n},{Par}分不清谁是谁？{/n}太天真啦、小姐姐们。{/n}
{Par}ウチってば せまいよなー。{/n}{/n},{Par}我家好挤哦——{/n}{/n}
{Par}また 服よごしちったぁ。{/n}{/n},{Par}又把衣服弄脏了——{/n}{/n}
{Par}かあちゃん、ごはんー。{/n}{/n},{Par}妈——开饭啦——{/n}{/n}
{Par}ぼく、末っ子なの。{/n}{/n},{Par}我是老幺哦。{/n}{/n}
{Par}姉妹だもん、よく似てるわよ。{/n}{/n},{Par}因为是姐妹、{/n}当然会很像啦。{/n}
{Par}服も おそろいなのよねっ。{/n}{/n},{Par}连衣服都是同款哦——{/n}{/n}
{Par}エヘ、ごめんなせー。{/n}{/n},{Par}嘿咻、借过啦——{/n}{/n}
{Par}三番目のおねえちゃんは{/n}おつかいに行ってるの。{/n}今は いないの。,{Par}三姐出去跑腿了。{/n}现在不在家。{/n}
{Par}だぼー。ばぶーん。{/n}{/n},{Par}发呆中。叭噗——{/n}{/n}
{Par}あたしは 遊びにきた{/n}近所のコだもんねー！{/n},{Par}我是过来玩的{/n}邻居小孩啦——！{/n}
{Par}わしが この空中庭園の{/n}管理人じゃ。{/n},{Par}老夫正是这座空中庭园的{/n}管理人。{/n}
わがエアリアの自慢は、{/n}村を守ってくださる{/n}聖なる鳥の像じゃ。,艾瑞亚的骄傲是守护村落的{/n}圣鸟雕像。{/n}
は？,嗯？
なんと、わが村の象徴たる{/n}精鳥の像を見学したいとな？{/n},什么、想参观村子的象征{/n}精鸟雕像？{/n}
ダメじゃ ダメじゃ！{/n}{/n},不行不行！{/n}{/n}
あれは重要な 村の宝。{/n}よそ者には 見せることも{/n}まかりならん！,那可是重要的村中至宝。{/n}岂能让外人随意观看！{/n}
聖なる鳥の像に通ずる{/n}雲の迷宮のカギは 渡さんぞ。{/n},通往圣鸟雕像的{/n}云之迷宫钥匙绝不外借！{/n}
おい！,喂！
{Par}コりない子どもたちじゃのう。{/n}何度 来ようが{/n}ダメと言ったら ダメじゃ！,{Par}不长记性的小鬼们！{/n}无论再来多少次{/n}不行就是不行！
{Par}た、たいへんだ！,{Par}大、大事不好！
精鳥の像へのカギが！{/n}雲の迷宮の扉のカギが…{/n}盗まれた{var4},精鸟雕像的钥匙！{/n}云之迷宫大门的钥匙…{/n}被盗了{var4}
あれを かくしておいた部屋は{/n}厳重に戸じまりしておいたはず！{/n},明明把钥匙藏在{/n}严密封锁的房间里！{/n}
…と言いますと、密室でおきた{/n}盗難事件ということに{/n}なりますわねぇ。,…也就是说这是{/n}密室盗窃事件呢。{/n}
むむむむむ！{/n}アヤしい！{/n}おまえらが アヤしいぞぅ！,唔唔唔唔！{/n}可疑！{/n}你们很可疑！
おいっ！,喂！
{Par}コりない子どもたちじゃのう。{/n}{/n},{Par}不长记性的小鬼们！{/n}{/n}
おいっ！{/n}{/n},喂！{/n}{/n}
{Par}めざとい村の者によると、{/n}扉のカギを開け、生意気そうな{/n}ガキが 奥に入っていったとか？,{Par}据眼尖的村民说、{/n}有个嚣张的小鬼{/n}打开大门闯进去了？
おまえたちじゃなかったとは{/n}すまないことをした。{/n},之前冤枉了你们{/n}真是抱歉。{/n}
{Par}あああ、なんてこった！{/n}精なる鳥の像が{/n}消滅するなんて！,{Par}啊啊啊、怎么会这样！{/n}圣鸟雕像竟然消失了！{/n}
夢も希望も ありゃしない！{/n}{/n},梦想与希望{/n}全都破灭了！{/n}
{Par}わたしは この屋敷の{/n}執事（しつじ）でございます。{/n},{Par}在下是这座宅邸的执事。{/n}{/n}
本当は 精鳥の像は、{/n}みなさんに 広く見ていただいて{/n}いたものなんですが…,原本精鸟雕像是{/n}应该开放给所有人瞻仰的…{/n}
いつからでしょう、{/n}像への道に 雲の迷宮を作り、{/n}その扉には カギをかけて…,不知何时起、在通往{/n}雕像的路上建造云之迷宫、{/n}还给大门上锁…
こんな人じゃ{/n}なかったんですけどねぇ…。{/n},他原本{/n}不是这样的人啊…{/n}
{Par}精鳥の像への 扉のカギが{/n}盗まれてしまったのです！{/n},{Par}通往精鸟雕像的{/n}大门钥匙被盗了！{/n}
いったい どこのだれが…。{/n}{/n},究竟是何方神圣…{/n}{/n}
{Par}あなたがたが盗んだとは{/n}わたしには とても{/n}思えません。,{Par}在下实在无法相信{/n}是各位所为。{/n}
ささ、見つからない内に{/n}お逃げなさい。{/n},快快、趁还没被发现{/n}快点逃吧。{/n}
{Par}やはり あなたがたでは{/n}ありませんでしたな。{/n}安心いたしました。,{Par}果然不是各位所为啊。{/n}这就放心了。{/n}
{Par}管理人さんは お悲しみですが…{/n}これでよかったのかもしれません。{/n},{Par}管理人先生虽然悲痛…{/n}但这或许是件好事。{/n}
{Par}太くて大きな柱だ。{/n}中身は どうなってるんだろ？{/n},{Par}又粗又大的柱子。{/n}内部是什么构造呢？{/n}
{Par}うーん…下からだと、{/n}中が どうなっているか{/n}わからないわ。,{Par}嗯…从下面看的话{/n}完全猜不到里面的构造呢。{/n}
{Par}とても大きな ツツがありますわ。{/n}{/n},{Par}有着非常巨大的柱子。{/n}{/n}
もしかしたら これは、{/n}この空中庭園が 空に浮かぶのを{/n}補強するための装置なのでは…？,说不定这是用来{/n}支撑漂浮的空中庭园的装置…？{/n}
{Par}大きな銅像だ。{/n}髪の長い女の人が 宝玉を{/n}手に ささげもっている。,{Par}巨大的铜像。{/n}长发女性双手捧着宝玉。{/n}
{Par}女の人の像があるわ。{/n}ものすごい髪の毛してるわね…。{/n},{Par}有座女性雕像。{/n}头发长得很夸张呢…{/n}
{Par}このセフィーロで、{/n}エメロード姫以外の像というのは{/n}めずらしいですわね。,{Par}在锡菲罗境内、{/n}除了艾美诺公主的雕像以外{/n}很少见到其他雕像呢。
{Par}ヘンな形の柱がある。{/n}おサルさんみたい。{/n},{Par}形状奇特的柱子。{/n}像猴子似的。{/n}
